w;i;w1;i1;
382,0568237;0,06878630817;382,0568237;0,3968099654;
380,9752197;0,06641618907;380,9752197;0,3832019866;
380,0479736;0,06447916478;380,0479736;0,3725355268;
378,9660034;0,06231657416;378,9660034;0,3604496419;
378,0384827;0,06086495146;378,0384827;0,3525237441;
376,9562073;0,05897622555;376,9562073;0,3413693309;
376,0283813;0,05735978484;376,0283813;0,3322637975;
374,9457703;0,0550310947;374,9457703;0,320043087;
374,0176697;0,05349532142;374,0176697;0,3105115592;
372,9347229;0,05171385407;372,9347229;0,2988421023;
372,0063477;0,04997393489;372,0063477;0,2906197011;
370,9230652;0,04848418385;370,9230652;0,2806837261;
369,9944153;0,04583818838;369,9944153;0,2693367898;
369,0656128;0,04457385466;369,0656128;0,2604407072;
367,9818726;0,0424939245;367,9818726;0,249366954;
367,0528259;0,0409992747;367,0528259;0,241569832;
365,96875;0,03934741393;365,96875;0,2317371517;
365,0393982;0,03812959045;365,0393982;0,2221395671;
363,9550171;0,03651893884;363,9550171;0,2126171291;
363,0253906;0,03470436856;363,0253906;0,2035917789;
361,9407043;0,03356041014;361,9407043;0,19612737;
361,0108032;0,03215302899;361,0108032;0,1890681088;
359,9257813;0,03031437658;359,9257813;0,1796970367;
358,9956055;0,02906683832;358,9956055;0,1722211838;
358,0653381;0,02763240039;358,0653381;0,164605692;
356,9798584;0,02617340349;356,9798584;0,1571377516;
356,0492859;0,02510898747;356,0492859;0,1514414102;
354,963501;0,02351775579;354,963501;0,1426031739;
354,0326843;0,02257511765;354,0326843;0,1363361329;
352,9465637;0,02092879824;352,9465637;0,1287777275;
352,0154724;0,01988578774;352,0154724;0,1223832816;
350,9290771;0,01879707724;350,9290771;0,1161554158;
349,9977112;0,01771750487;349,9977112;0,1104163602;

2;
2
Collection Time: 10.09.2024 13:07:40
Operator Name  :
Scan Software Version: 3.00(339)
Parameter List :
Instrument                        Cary 50
Instrument Version                3,00
Start (nm)                        650,0
Stop (nm)                         350,0
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600,00
UV-Vis Data Interval (nm)         1,00
UV-Vis Ave. Time (sec)            0,1000
Beam Mode                         Dual Beam
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    :
Date/Time stamp: 10.09.2024 11:01:30
Method Modifications:
UVVIS SAT Changed: 10.09.2024 13:05:16, Old:0,0125, New:0,1000
Common SAT Changed: 10.09.2024 13:05:16, Old:0,0125, New:0,1000
X Start nm Changed: 10.09.2024 13:05:25, Old:  800,0, New:  650,0
X Stop nm Changed: 10.09.2024 13:05:25, Old:  200,0, New:  350,0
Common Interval nm Changed: 10.09.2024 13:05:25, Old:     5,00, New:     1,00
Baseline Correction Changed: 10.09.2024 13:05:25, Old:0, New:1
End Method Modifications
<Current Wavelength> , 352,0

10;
10
Collection Time: 10.09.2024 13:17:07
Operator Name  :
Scan Software Version: 3.00(339)
Parameter List :
Instrument                        Cary 50
Instrument Version                3,00
Start (nm)                        650,0
Stop (nm)                         350,0
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600,00
UV-Vis Data Interval (nm)         1,00
UV-Vis Ave. Time (sec)            0,1000
Beam Mode                         Dual Beam
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    :
Date/Time stamp: 10.09.2024 11:01:30
Method Modifications:
UVVIS SAT Changed: 10.09.2024 13:05:16, Old:0,0125, New:0,1000
Common SAT Changed: 10.09.2024 13:05:16, Old:0,0125, New:0,1000
X Start nm Changed: 10.09.2024 13:05:25, Old:  800,0, New:  650,0
X Stop nm Changed: 10.09.2024 13:05:25, Old:  200,0, New:  350,0
Common Interval nm Changed: 10.09.2024 13:05:25, Old:     5,00, New:     1,00
Baseline Correction Changed: 10.09.2024 13:05:25, Old:0, New:1
Peak Threshold Changed: 10.09.2024 13:08:45, Old:    0,010, New:    0,100
Peak Selection Changed: 10.09.2024 13:08:45, Old:All Peaks, New:Maximum
Peak Position Changed: 10.09.2024 13:08:57, Old:Top, New:Right
Peak Threshold Changed: 10.09.2024 13:09:13, Old:    0,100, New:    0,000
End Method Modifications
<Current Wavelength> , 352,0

